id;device_id;mobile;social_login;facebook_id;google_id;otp;last_login;created_date;modified_date
1;Interactions Unbranded Plastic Sausages open system;IOS;true;Director;Chips Refined Granite Cheese;platforms Rustic Soft Hat;2020-12-17;2020-12-17;2020-12-16
2;IB;MICROSOFT;true;Direct Product Factors;open-source Brand;Mouse;2020-12-17;2020-12-17;2020-12-16
3;Rwanda Franc;ANDROID;false;back-end Hawaii;EXE;withdrawal Object-based Concrete;2020-12-16;2020-12-17;2020-12-16
4;Kenyan Shilling;MICROSOFT;true;back-end attitude-oriented;Chief portals Coordinator;Managed unleash Beauty;2020-12-16;2020-12-17;2020-12-17
5;Chips Fresh mobile;IOS;true;invoice Bedfordshire;Sleek Granite Chicken Borders Checking Account;Fully-configurable indexing;2020-12-16;2020-12-16;2020-12-17
6;Auto Loan Account;ANDROID;false;Soft;impactful;Forward e-tailers;2020-12-16;2020-12-17;2020-12-16
7;Money Market Account Global;MICROSOFT;false;Customer Avon withdrawal;Wyoming Wyoming;Grocery Parks;2020-12-17;2020-12-17;2020-12-16
8;Rapid Designer Illinois;MICROSOFT;true;Mexican Peso Mexican Unidad de Inversion (UDI) array Central;dot-com Arizona Unbranded Fresh Chair;Metal;2020-12-17;2020-12-17;2020-12-17
9;Saint Helena Pound;IOS;true;New Mexico copying input;Concrete;adapter Singapore Dollar Licensed;2020-12-17;2020-12-16;2020-12-17
10;plum Table Open-architected;MICROSOFT;true;Moldovan Leu Arizona;Aruban Guilder;eyeballs;2020-12-17;2020-12-17;2020-12-17
